time,touch_count,last_touch_delay
1489324963,0,7166472
1489324979,0,7182440
1489324995,0,7198565
1489325010,0,7213609
1489325025,0,7228661
1489325041,0,7243719
1489325056,0,7258766
1489325072,0,7275521
1489325088,0,7291524
1489325090,0,7293114
1489325090,0,7293160
1489325104,0,7307520
1489325120,0,7322700
1489325136,0,7339511
1489325152,0,7355331
1489325167,0,7370380
1489325182,0,7385408
1489325198,0,7401448
1489325213,0,7416510
1489325228,0,7431571
1489325243,0,7446620
1489325259,0,7462510
1489325274,0,7477558
1489325290,0,7492738
1489325305,0,7507783
1489325320,0,7522837
1489325336,0,7539497
1489325351,0,7554525
1489325366,0,7569564
1489325381,0,7584629
1489325396,0,7599668
1489325397,0,7600330
1489325397,0,7600385
1489325413,0,7616513
1489325429,0,7632455
1489325445,0,7648486
1489325460,0,7663535
1489325476,0,7679526
1489325492,0,7695481
1489325508,0,7710698
1489325523,0,7725744
1489325539,0,7742468
1489325554,0,7757515
1489325569,0,7772546
1489325584,0,7787641
1489325600,0,7803485
1489325616,0,7819499
1489325633,0,7836506
1489325648,0,7851551
1489325664,0,7867501
1489325679,0,7882554
1489325694,0,7897625
1489325710,0,7912682
1489325711,0,7914250
1489325711,0,7914302
1489325726,0,7929502
1489325742,0,7945468
1489325757,0,7960506
1489325772,0,7975543
1489325788,0,7991455
1489325804,0,8007521
1489325819,0,8022579
1489325834,0,8037631
1489325850,0,8053466
1489325867,0,8070491
1489325884,0,8087508
1489325899,0,8102561
1489325915,0,8118495
1489325931,0,8134476
1489325946,0,8149540
1489325963,0,8166516
1489325979,0,8182504
1489325995,0,8198483
1489326010,0,8213525
1489326012,0,8215037
1489326012,0,8215076
1489326026,0,8229462
1489326042,0,8245515
1489326057,0,8260580
1489326073,0,8275723
1489326088,0,8291471
1489326104,0,8307472
1489326120,0,8323359
1489326135,0,8338458
1489326151,0,8354489
1489326167,0,8370471
1489326182,0,8385538
1489326198,0,8400710
1489326214,0,8417487
1489326230,0,8433438
1489326247,0,8450462
1489326264,0,8467506
1489326280,0,8483475
1489326296,0,8499466
1489326312,0,8515507
1489326314,0,8517043
1489326314,0,8517096
1489326328,0,8531478
1489326343,0,8546518
1489326359,0,8562529
1489326375,0,8578472
1489326390,0,8593495
1489326405,0,8608520
1489326421,0,8624465
1489326436,0,8639515
1489326451,0,8654671
1489326467,0,8670484
1489326483,0,8686502
1489326500,0,8703522
1489326515,0,8718571
1489326531,0,8734460
1489326547,0,8750515
1489326564,0,8767520
1489326580,0,8783490
1489326596,0,8799428
1489326611,0,8814471
1489326626,0,8829528
1489326628,0,8831149
1489326628,0,8831192
1489326642,0,8845491
1489326658,0,8861527
1489326674,0,8877486
1489326690,0,8893315
1489218269,0,27805131
1489218270,0,27806739
1489218270,0,27806771
1489218284,0,27820179
1489218299,0,27835233
1489232988,0,2274256
1489233004,0,2290320
1489233019,0,2305347
1489233035,0,2321311
1489233051,0,2337295
1489233067,0,2353279
1489233083,0,2369292
1489233098,0,2384349
1489233114,0,2400314
1489233130,0,2416307
1489233145,0,2431357
1489233161,0,2447266
1489233177,0,2463308
1489233194,0,2480400
1489233211,0,2497322
1489233227,0,2513314
1489233243,0,2529321
1489233258,0,2544359
1489233275,0,2561346
1489233277,0,2563475
1489233277,0,2563525
1489233290,0,2576388
1489233307,0,2593301
1489233323,0,2609281
1489233339,0,2625305
1489233355,0,2641351
1489233371,0,2657290
1489233386,0,2672744
1489233401,0,2687779
1489233418,0,2704260
1489233434,0,2720342
1489233450,0,2736316
1489233465,0,2751397
1489233481,0,2767325
1489233497,0,2783310
1489233513,0,2799321
1489233528,0,2814373
1489233543,0,2829416
1489233560,0,2846293
1489233576,0,2862300
1489233577,0,2863847
1489233577,0,2863903
1489233592,0,2878316
1489233607,0,2893404
1489233623,0,2909327
1489233639,0,2925296
1489233654,0,2940345
1489233670,0,2956405
1489233686,0,2972295
1489233701,0,2987322
1489233717,0,3003281
1489233733,0,3019319
1489233749,0,3035295
1489233764,0,3050345
1489233780,0,3066387
1489233796,0,3082312
1489233812,0,3098332
1489233828,0,3114292
1489233843,0,3129339
1489233859,0,3145458
1489233875,0,3161322
1489233891,0,3177303
1489233892,0,3178793
1489233892,0,3178871
1489233906,0,3192347
1489233922,0,3208327
1489233938,0,3224289
1489233954,0,3240289
1489233970,0,3256332
1489233986,0,3272302
1489234002,0,3288317
1489234018,0,3304286
1489234034,0,3320302
1489234049,0,3335354
1489234066,0,3352340
1489234082,0,3368346
1489234098,0,3384278
1489234114,0,3400332
1489234130,0,3416307
1489234145,0,3431405
1489234162,0,3448289
1489234178,0,3464327
1489234194,0,3480342
1489234195,0,3481856
1489234195,0,3481913
1489234209,0,3495362
1489234224,0,3510416
1489234241,0,3527351
1489234257,0,3543308
1489234273,0,3559322
1489234288,0,3574366
1489234304,0,3590330
1489234319,0,3605352
1489234335,0,3621276
1489234351,0,3637291
1489234367,0,3653322
1489234382,0,3668377
1489234398,0,3684293
1489234414,0,3700298
1489234430,0,3716319
1489234446,0,3732273
1489234461,0,3747294
1489234476,0,3762349
1489234493,0,3779344
1489234509,0,3795345
1489234510,0,3796841
1489234510,0,3796897
1489234525,0,3811334
1489234540,0,3826382
1489234555,0,3841432
1489234571,0,3857369
1489234586,0,3872417
1489234602,0,3888356
1489234618,0,3904346
1489234634,0,3920315
1489234650,0,3936335
1489234666,0,3952356
1489234682,0,3968315
1489234698,0,3984308
1489234713,0,3999347
1489234729,0,4015346
1489234745,0,4031308
1489234761,0,4047289
1489234776,0,4062342
1489234792,0,4078316
1489234808,0,4094322
1489234824,0,4110290
1489234825,0,4111977
1489234825,0,4112027
1489234840,0,4126326
1489234856,0,4142290
1489234872,0,4158297
1489234888,0,4174297
1489234904,0,4190292
1489234920,0,4206320
1489234936,0,4222298
1489234952,0,4238283
1489234968,0,4254284
1489234984,0,4270295
1489235000,0,4286284
1489235016,0,4302271
1489235032,0,4318294
1489235048,0,4334279
1489235063,0,4349332
1489235079,0,4365343
1489235095,0,4381354
1489235111,0,4397310
1489235127,0,4413357
1489235128,0,4414980
1489235128,0,4415050
1489272767,0,7758657
1489272767,0,7758710
1489272780,0,7771069
1489272795,0,7786123
1489272810,0,7801173
1489272825,0,7816221
1489272840,0,7831270
1489272855,0,7846314
1489272870,0,7861381
1489272885,0,7876431
1489272900,0,7891480
1489272915,0,7906536
1489272930,0,7921579
1489272945,0,7936631
1489272960,0,7951686
1489272975,0,7966743
1489272990,0,7981798
1489273005,0,7996848
1489273020,0,8011897
1489273035,0,8026956
1489273050,0,8042003
1489273066,0,8057072
1489273067,0,8058661
1489273067,0,8058710
1489273081,0,8072130
1489273096,0,8087182
1489273111,0,8102241
1489273126,0,8117291
1489273141,0,8132349
1489273156,0,8147395
1489273171,0,8162448
1489273186,0,8177508
1489273201,0,8192560
1489273216,0,8207601
1489273231,0,8222659
1489273246,0,8237707
1489273261,0,8252758
1489273276,0,8267817
1489273291,0,8282863
1489273306,0,8297922
1489273321,0,8312985
1489273337,0,8328033
1489273352,0,8343088
1489273367,0,8358159
1489273368,0,8359754
1489273368,0,8359805
1489273382,0,8373212
1489273397,0,8388265
1489273412,0,8403329
1489273427,0,8418389
1489273442,0,8433447
1489273457,0,8448496
1489273472,0,8463558
1489273487,0,8478610
1489273502,0,8493669
1489273517,0,8508719
1489273532,0,8523781
1489273547,0,8538839
1489273562,0,8553904
1489273577,0,8568981
1489273593,0,8584031
1489273608,0,8599090
1489273623,0,8614147
1489273638,0,8629201
1489273653,0,8644254
1489273668,0,8659312
1489273669,0,8660866
1489273669,0,8660925
1489273683,0,8674365
1489273698,0,8689406
1489273713,0,8704468
1489273728,0,8719529
1489273743,0,8734588
1489273758,0,8749613
1489273773,0,8764666
1489273788,0,8779726
1489273803,0,8794787
1489273818,0,8809837
1489273833,0,8824886
1489273848,0,8839944
1489273863,0,8854998
1489273879,0,8870061
1489273894,0,8885118
1489273909,0,8900177
1489273924,0,8915234
1489273939,0,8930267
1489273954,0,8945330
1489273969,0,8960395
1489273970,0,8961922
1489273970,0,8961978
1489273984,0,8975455
1489273999,0,8990519
1489274014,0,9005566
1489274029,0,9020631
1489274044,0,9035687
1489274059,0,9050749
1489274074,0,9065808
1489274089,0,9080863
1489274104,0,9095925
1489274119,0,9110974
1489274135,0,9126027
1489274150,0,9141082
1489274165,0,9156137
1489274180,0,9171196
1489274195,0,9186251
1489274210,0,9201301
1489274225,0,9216359
1489274240,0,9231406
1489274255,0,9246460
1489274270,0,9261593
1489274272,0,9263184
1489274272,0,9263236
1489274285,0,9276640
1489274300,0,9291690
1489274315,0,9306746
1489308561,9,7039
1489308576,0,22080
1489308591,0,37139
1489308606,7,9224
1489308622,0,25622
1489308638,0,41617
1489308655,0,58623
1489308671,0,74620
1489308687,0,90591
1489308702,0,105635
1489308717,0,120689
1489308733,0,136634
1489308749,0,152626
1489308765,0,168638
1489308781,0,184645
1489308796,0,199698
1489308813,0,216629
1489308829,0,232596
1489308845,0,248699
1489308860,0,263767
1489308863,0,267039
1489308864,0,267099
1489308876,0,279648
1489308893,0,296644
1489308909,0,312674
1489308925,0,328614
1489308940,0,343708
1489308955,0,358752
1489308972,0,375660
1489308988,0,391620
1489309003,0,406660
1489309019,0,422600
1489309035,0,438629
1489309051,0,454629
1489309067,0,470609
1489309082,0,485667
1489309098,0,501662
1489309114,0,517605
1489309130,0,533598
1489309145,0,548645
1489309160,0,563709
1489309176,0,579682
1489309178,0,581357
1489309178,0,581408
1489309191,13,3163
1489309206,0,18188
1489309221,0,33311
1489309237,0,49116
1489309253,0,65057
1489309269,0,81114
1489309285,0,97069
1489309301,0,113021
1489309316,0,128047
1489309331,0,143127
1489309347,0,159086
1489309363,0,175110
1489309379,0,191169
1489309395,0,207110
1489309411,0,223034
1489309426,0,238078
1489309442,0,254121
1489309458,0,270108
1489309473,0,285128
1489309488,0,300198
1489309489,0,301018
1489309489,0,301073
1489309504,0,316105
1489309520,0,332079
1489309536,0,348054
1489309552,0,364104
1489309569,0,381134
1489309585,0,397075
1489309601,0,413049
1489309616,0,428076
1489309632,0,444053
1489309648,0,460028
1489309663,0,475077
1489309679,0,491115
1489309695,0,507113
1489309711,0,523065
1489309726,0,538117
1489309742,0,554110
1489309758,0,570085
1489309774,0,586100
1489309789,0,601170
1489309792,0,604015
1489309792,0,604065
1489309805,0,617129
1489309821,0,633071
1489309837,0,649073
1489309852,0,664128
1489309868,0,680116
1489309884,0,696066
1489309900,0,712062
1489309916,0,728050
1489309932,0,744062
1489309948,0,760064
1489309964,0,776039
1489309979,0,791120
1489309994,0,806144
1489310010,0,822106
1489310026,0,838094
1489310041,0,853116
1489310057,0,869053
1489310073,0,885057
1489310088,0,900109
1489310105,0,917165
1489310107,0,918734
1489310107,0,918803
1489310121,0,933124
1489310137,0,949092
1489310153,0,965069
1489310169,0,981115
1489310185,0,997100
1489310201,0,1013064
1489310216,0,1028081
1489310231,0,1043127
1489310248,0,1060106
1489310264,0,1076082
1489310280,0,1092087
1489310296,0,1108115
1489310312,0,1124068
1489310328,0,1140103
1489310344,0,1156108
1489310359,0,1171164
1489310376,0,1188070
1489310392,0,1204055
1489310408,0,1220125
1489310410,0,1221616
1489310410,0,1221693
1489310424,0,1236136
1489310440,0,1252094
1489310456,0,1268063
1489310472,0,1284090
1489310488,0,1300051
1489310504,0,1316064
1489310520,0,1332046
1489310536,0,1348033
1489310552,0,1364045
1489310568,0,1380057
1489310584,0,1396114
1489310599,0,1411135
1489310615,0,1427068
1489310631,0,1443095
1489310646,0,1458197
1489310662,0,1474045
1489310677,0,1489099
1489310693,0,1505106
1489310708,0,1520177
1489310709,0,1520856
1489310709,0,1520908
1489178847,0,538113
1489178863,0,554609
1489178879,0,570573
1489178895,0,586547
1489178911,0,602555
1489178926,0,617607
1489178941,0,632634
1489178958,0,649618
1489178973,0,664630
