time,onoff
1486392124,1
1486392135,0
1486395751,0
1486366435,1
1486366442,0
1486363734,1
1486363743,0
1486379100,1
1486379131,0
1486379230,1
1486379234,0
1486374186,1
1486374212,0
1486363956,1
1486364834,0
1486365361,1
1486365373,0
1486368543,1
1486368549,0
1486368583,1
1486368598,0
1486375827,0
1486382886,1
1486382895,0
1486388448,1
1486388520,0
1486388620,1
1486362779,1
1486362846,0
1486377886,1
1486377889,0
1486363005,1
1486363007,0
1486394792,1
1486394794,0
1486394801,1
1486394810,0
1486379633,1
1486379639,0
1486381308,1
1486381319,0
1486377100,1
1486378902,1
1486378914,0
1486373844,1
1486373863,0
1486365999,1
1486396889,1
1486396890,0
1486376525,0
1486376613,1
1486376615,0
1486377231,0
1486381398,1
1486381419,0
1486395105,1
1486395125,0
1486366162,0
1486394319,1
1486394331,0
1486381523,1
1486381540,0
1486364645,0
1486391869,1
1486391902,0
1486394415,1
1486394419,0
1486360284,1
1486360286,0
1486360287,1
1486360298,0
1486372803,1
1486372804,0
1486395592,1
1486363460,1
1486363465,0
1486364757,1
1486363635,1
1486363637,0
1486392253,1
1486392255,0
1486374871,1
1486365133,1
1486365146,0
1486365183,1
1486365239,0
1486397030,1
1486397031,0
1486389372,0
1486389373,1
1486389375,0
1486374053,1
1486374065,0
1486398478,1
1486398488,0
1486398302,1
1486398304,0
1486404664,1
1486404677,0
1486407381,0
1486407278,1
1486407290,0
1486407300,1
1486408769,1
1486408780,0
1486412653,1
1486412657,0
1486412664,1
1486412665,0
1486412708,1
1486413518,0
1486413523,1
1486413535,0
1486440003,1
1486440028,0
1486441899,1
1486442374,0
1486442450,1
1486442513,0
1486444899,1
1486444904,0
1486465320,1
1486465414,0
1486450859,1
1486450862,0
1486476068,1
1486476074,0
1486476157,1
1486476174,0
1486471332,0
1486471462,1
1486471563,0
1486474283,1
1486474285,0
1486474289,1
1486474299,0
1486475821,1
1486475824,0
1486471039,1
1486471040,0
1486471068,1
1486471102,0
1486471178,1
1486474150,1
1486474186,0
1486472755,1
1486450055,1
1486450084,0
1486463502,0
1486463559,1
1486463562,0
1486463577,1
1486463583,0
1486468146,1
1486468173,0
1486454985,1
1486455017,0
1486455026,1
1486455170,0
1486459313,1
1486459337,0
1486456491,1
1486456494,0
1486448401,1
1486448402,0
1486448403,1
1486448414,0
1486462877,1
1486462889,0
1486449662,1
1486449746,0
1486473986,1
1486473987,0
1486474000,1
1486474018,0
1486463313,1
1486463332,0
1486463350,1
1486463357,0
1486463412,1
1486457524,1
1486457536,0
1486457833,1
1486457843,0
1486455922,1
1486455933,0
1486458289,1
1486458292,0
1486462772,1
1486462793,0
1486447115,0
1486458423,1
1486458425,0
1486472895,0
1486472937,1
1486475350,1
1486475353,0
1486475354,1
1486475357,0
1486461649,1
1486461653,0
1486473154,0
1486472360,0
1486466887,1
1486466901,0
1486464045,1
1486464051,0
1486474704,1
1486474706,0
1486458703,1
1486458712,0
1486452104,1
1486452126,0
1486452229,1
1486452233,0
1486458185,1
1486458199,0
1486457384,1
1486457408,0
1486464890,1
1486464892,0
1486447030,1
1486472245,1
1486474978,1
1486474980,0
1486466088,1
1486466102,0
1486475130,1
1486475154,0
1486446853,1
1486446854,0
1486475544,1
1486475555,0
1486467960,1
1486467963,0
1486467964,1
1486467990,0
1486475729,1
1486475745,0
1486467536,1
1486467543,0
1486475920,1
1486475932,0
1486479168,1
1486479193,0
1486479656,1
1486479666,0
1486484549,1
1486485063,1
1486484707,0
1486485199,0
1486486227,1
1486486231,0
1486486941,1
1486486942,0
1486489276,0
1486489314,1
1486489327,0
1486489753,1
1486489760,0
1486487808,1
1486494390,1
1486494404,0
1486489119,1
1486493223,1
1486493294,0
1486488195,0
1486488462,1
1486488484,0
1486488488,1
1486488499,0
1486488611,1
1486488677,0
1486494886,1
1486494965,0
1486494968,1
1486494978,0
1486495197,1
1486495203,0
1486495714,1
1486495758,0
1486500649,1
1486501587,0
1486527948,1
1486527959,0
1486528203,1
1486528676,0
1486529552,1
1486530034,0
1486530881,1
1486530883,0
1486534943,1
1486535154,0
1486535161,1
1486535202,0
1486535244,1
1486535248,0
1486534120,0
1486564472,1
1486564474,0
1486543636,1
1486543639,0
1486541037,1
1486541043,0
1486541044,1
1486541046,0
1486555121,1
1486555130,0
1486550033,0
1486550068,1
1486549217,1
1486549259,0
1486545565,1
1486545580,0
