t,alcohol,bluelight,intensity,peak_count,sleepquality,sports,stress,work
2017-03-08,0,1,197.16666666666666,2.857256240326997,1,1,2,10
2017-03-09,0,1,411.006993006993,2.0028612303290414,1,1,1,10
2017-03-10,0,1,467.625,2.7522935779816513,1,1,2,12
2017-03-12,2,1,913.9930555555555,4.098618090452261,0,1,0,3
2017-03-13,0,1,985.7708333333334,2.58105632119812,1,1,1,10
2017-04-02,0,1,281.52777777777777,2.352374729167383,2,1,1,9
2017-03-04,3,0,230.34722222222223,2.4822139342464036,2,1,0,4
2017-03-06,0,1,892.3888888888889,1.3646702047005308,1,0,1,5
2017-03-07,0,1,953.0694444444445,1.0202016112707988,0,0,1,5
2017-03-08,0,1,197.16666666666666,3.6667798388839157,2,1,0,4
2017-03-09,0,0,411.006993006993,3.0307428803669407,2,1,1,9
2017-03-10,0,0,467.625,2.8,2,0,1,6
2017-03-13,0,1,985.7708333333334,2.618181818181818,2,1,1,0
2017-03-14,0,0,388.1041666666667,3.198141251238596,1,1,1,0
2017-03-15,0,1,239.29861111111111,3.3524587701643185,2,1,0,0
2017-03-17,0,1,1052.486111111111,3.2878714076960547,2,1,0,5
2017-03-20,0,1,442.1875,2.7071209049892104,2,1,2,0
2017-03-22,0,2,249.81944444444446,2.9123268277884518,0,1,2,8
2017-03-24,0,0,1103.1527777777778,2.5819672131147535,1,0,0,0
2017-03-26,0,2,531.5,2.624167522613565,1,1,1,0
2017-03-29,0,2,1186.4791666666667,3.75130253560264,1,1,1,4
2017-03-31,0,1,1312.9930555555557,1.233414315081293,2,1,0,5
2017-03-05,0,1,420.30555555555554,3.4444444444444438,2,1,1,0
2017-03-06,0,2,892.3888888888889,3.6263850776338185,2,0,2,1
2017-03-07,0,2,953.0694444444445,2.28,2,1,2,6
2017-03-08,0,2,197.16666666666666,2.297872340425532,2,1,2,5
2017-03-09,0,2,411.006993006993,3.530565544295521,2,0,2,5
2017-03-10,0,1,467.625,3.2280047344069436,2,1,1,4
2017-03-12,0,1,913.9930555555555,1.3714285714285712,1,0,0,1
2017-03-13,0,1,985.7708333333334,1.5172995133913176,0,1,2,1
2017-03-19,0,1,434.7916666666667,4.298065047344586,1,0,1,2
2017-03-20,0,2,442.1875,2.126255081124275,1,1,0,3
2017-03-23,0,3,540.4305555555555,3.0028151391929936,2,1,0,5
2017-03-24,0,2,1103.1527777777778,1.5486091195870375,1,0,1,4
2017-03-25,0,2,1036.2291666666667,2.402975112043482,2,0,1,3
2017-03-27,0,1,782.5289855072464,1.467645096731154,1,0,0,2
2017-03-28,0,2,1154.5277777777778,1.489212753770763,1,0,1,2
2017-03-29,0,3,1186.4791666666667,2.479518596389473,1,0,1,4
2017-03-31,0,3,1312.9930555555557,3.001667593107282,1,1,2,3
2017-04-01,0,3,877.4166666666666,1.9726027397260275,0,1,1,6
2017-04-02,0,3,281.52777777777777,2.9008863819500403,1,1,0,0
